No.,Title,Text
1,協和キリン、宇部工場にオンサイトPPAで1.47MW太陽光を導入,"協和キリン（東京都千代田区）は12月22日、山口県宇部市にある宇部工場に、オンサイトPPAモデルを活用した大規模太陽光発電設備を導入すると発表した。発電出力は1.47MW。同設備の稼働により、年間約1,029トンのCO2排出が削減できる見込みだ。稼働開始は2023年3月予定。"
2,23年度税制改正、「中小企業経営強化」と「先端設備等導入計画」は延長へ,2022年12月16日、与党より「2023年度税制改正大綱」が公表された。気になるのは、再エネ設備にも適用がある、中小企業向けの投資減税制度、中小企業経営強化税制と先端設備等導入計画税制の延長の有無だ。今回はこれらの内容とインボイス制度の緩和策を中心に、大綱を読んだ限りの第一報をお伝えする。以下、大綱の原文を記載したうえで解説を付す形式で説明する。
3,CO2削減効果を「デジタルツイン」で試算　静岡市の脱炭素化を支援,電通国際情報サービス（ISID／東京都港区）は12月23日、静岡県静岡市が進める脱炭素先行地域づくり事業に参画し、CO2削減効果を「デジタルツイン」でシミュレーションするクラウドサービスを活用し、より効果的な脱炭素施策の立案を支援する取り組みを開始すると発表した。静岡市は2022年4月に環境省が公表した脱炭素先行地域（第1回）に選定され、関係事業者と連携し、再エネ設備等の導入に取り組んでいる。ISIDは、設備導入効果をより一層高めるため、CO2排出状況や削減施策と削減効果の関係性を、実際の排出量の変動等に応じて再現するデジタルツイン技術を用いて可視化・シミュレーションする仕組みの提供から、地域企業・住民への分かりやすい情報開示までを担う。
4,東急建設、建設現場にバーチャルPPAで再エネ導入　45カ所に低圧太陽光,東急建設（東京都渋谷区）は12月22日、クリーンエナジーコネクト（東京都千代田区）と、建設現場を対象としたバーチャルPPAサービス契約を締結したと発表した。東急建設の建設現場における使用電力に対して、追加性のある再エネの環境価値をクリーンエナジーコネクトから長期で提供する。取り組みの概要は以下のとおり。
5,三菱ふそう、主力2工場で100％再エネ化,三菱ふそうトラック・バス（MFTBC／神奈川県川崎市）は12月21日、主力工場の川崎製作所（神奈川県川崎市）と中津工場（神奈川県愛甲郡愛川町）で調達する電力の全量を、実質再生可能エネルギー由来の電力に切り替えたと発表した。同社は電気小型トラック「eCanter」を2017年に国内初の量産型として発売。車両の電動化を進めることで2039年には全製品のカーボンニュートラル化を、また、製造拠点も2039年までのカーボンニュートラル化を目指している。この取り組みの一環として、今回、両工場の契約電力メニューを、2022年10月からRE100対応のトラッキング付FIT非化石証書と、再エネ指定の非FIT非化石証書を付与したメニューに切り替えた。
6,環境ビジネス、23年の市場・政策動向とマーケティング戦略を徹底解説,"日本ビジネス出版（東京都港区）の環境ビジネス編集企画部は、2022年12月28日（水）、2023年1月5日（木）、2023年1月10日（火）の3日間、「2023年の市場・政策動向と、マーケティング戦略」をテーマに新春セミナー・説明会を開催する。会場は社会構想大学院大学（同・新宿区）で、時間はいずれも13時00分～14時15分。環境ビジネス会員（メルマガ会員・購読会員）は参加費無料（会員ではない方は5,000円）。　定員は15名（先着順・事前登録制、1社2名まで）。世界的な脱炭素の潮流は経済界・産業界に大きな影響を与えており、直近では燃料高騰などを背景に「エネルギーコストと脱炭素化の両立」が喫緊の課題となっている。今回のセミナーでは、環境ビジネス編集企画部が、2023年の環境・エネルギー業界の市場・政策動向の展望を踏まえた上で、B to Bマーケティング・プロモーション戦略の考え方を整理。環境ビジネスを活用した2023年度に向けたマーケティング企画・営業支援ソリューションについて紹介する。プログラムの概要は以下の通り。プログラムの概要は以下の通り。詳細、申し込みは下記から。【参考】"
7,NEC、再エネ等の自己託送を支援するクラウドサービス提供へ,NEC（東京都港区）は12月22日、再生可能エネルギー利用拡大に向けて、企業・自治体などの自己託送を支援するクラウドサービスを新たに提供すると発表した。開始時期は2023年4月を予定。価格は月額15万円から（別途初期費用）。同社が提供する、太陽光発電設備や蓄電システムなどの分散型エネルギーリソースをICTで統合制御するリソースアグリゲーション技術を活用した「NEC Energy Resource Aggregationクラウドサービス」（RAクラウドサービス）に、自己託送支援メニューを拡充する。
8,【グローバル】脱炭素関連ニュース（12月19日～23日配信）,12月19日から23日までに配信した海外の脱炭素関連ニュースをまとめてご紹介します。
9,JERAとSustech、再エネアグリゲーション事業を開始,JERA（東京都中央区）とSustech（東京都港区）は12月23日、再生可能エネルギーアグリゲーションビジネスの開始に向けた契約を締結した。Sustechが設置・運用する太陽光発電設備を活用してFIP制度に基づく電力卸売市場での電力売買に伴う売電収益やプレミアム価格、インバランスリスクの度合いを把握し、JERAが電力需給バランス調整や電力の市場取引を行う。両社の発電予測技術を組み合わせることで、より精度の高い発電予測を目指す。
10,損保ジャパン、太陽光発電事業者向けの新サービス　構造設計を評価,損害保険ジャパン（東京都新宿区）は12月26日から、太陽光発電事業者向けの新サービスを開始する。SOMPOリスクマネジメント（同）、構造耐力評価機構（大阪府松原市）と協力し、太陽光発電設備の構造設計評価と、設計上の問題が明らかになった場合に設備の安全性を再構築する支援サービスを提供する。損保ジャパンの調べによると保険業界として初めての取り組みだという。構造設計評価（構造設計書のレビューサービス）の対象設備は、太陽光発電設備（設備容量不問）で、対象となるリスクは風災・雪災・水災。太陽光発電設備の構造設計について、構造関係の法令等と照らして、風災や雪災などの自然災害リスク に対する構造計算の妥当性を確認・評価する。事故が発生している設備については、事故と設計の因果関係と、事故が再発する可能性についても評価する。
